Metric,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed41.loki.70507.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed42.loki.70508.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed43.loki.70509.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed44.loki.70510.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed45.loki.70511.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed41.mira05.72414.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed42.mira05.72415.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed43.mira10.72416.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed44.mira10.72417.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p80_multirun-seed45.mira05.72418.log
AUC-PR | 'No Finding' (Testing),0.41743,0.41749,0.41777,0.41702,0.41829,0.70471,0.70476,0.70464,0.70503,0.70497
AUC-PR | 'Others' (Testing),0.32287,0.32276,0.3229,0.32275,0.3229,0.27359,0.27314,0.27301,0.27357,0.27357
AUC-PR | 'Pleural Effusion' (Testing),0.76458,0.76451,0.7644,0.76445,0.76437,0.68061,0.68007,0.68011,0.68066,0.68083
AUC-ROC | 'No Finding' (Testing),0.86419,0.86419,0.86417,0.8642,0.86436,0.84082,0.84085,0.84075,0.84105,0.84095
AUC-ROC | 'Others' (Testing),0.75489,0.75481,0.75493,0.75475,0.75488,0.75735,0.75751,0.75735,0.75772,0.75759
AUC-ROC | 'Pleural Effusion' (Testing),0.84181,0.84185,0.84189,0.84173,0.84175,0.87009,0.87,0.86987,0.87014,0.87028
J Index Max | 'No Finding' (Testing),0.60267,0.60387,0.60225,0.60342,0.60307,0.54592,0.54584,0.54458,0.54785,0.5464
J Index Max | 'Others' (Testing),0.39,0.39029,0.39033,0.38987,0.39041,0.39536,0.39405,0.39454,0.39562,0.39422
J Index Max | 'Pleural Effusion' (Testing),0.53351,0.53424,0.53331,0.53239,0.5347,0.58694,0.587,0.58619,0.58644,0.58548
J Index at 20% FPR | 'No Finding' (Testing),0.59822,0.59726,0.59988,0.59885,0.59865,0.541,0.54262,0.54203,0.54177,0.54127
J Index at 20% FPR | 'Others' (Testing),0.36066,0.36032,0.3617,0.36006,0.35971,0.35657,0.35618,0.3554,0.35306,0.35666
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.51369,0.51155,0.51114,0.50982,0.51121,0.57854,0.57793,0.5769,0.57801,0.57812
Macro AUC-PR (Testing),0.36117,0.36108,0.36121,0.36103,0.36125,0.33346,0.33304,0.33292,0.33347,0.33348
Macro AUC-PR (Validation - During Training),0.36026,0.35999,0.36021,0.36018,0.36033,0.33068,0.33039,0.33057,0.33074,0.33075
Macro AUC-PR (Validation - Final),0.36026,0.35989,0.36021,0.36018,0.36033,0.33068,0.3303,0.33006,0.33074,0.33075
Macro AUC-ROC (Testing),0.7689,0.76884,0.76894,0.76878,0.7689,0.77136,0.7715,0.77135,0.7717,0.7716
Macro AUC-ROC (Validation - During Training),0.76718,0.76731,0.76743,0.76728,0.76733,0.77092,0.77067,0.77084,0.77096,0.77094
Macro AUC-ROC (Validation - Final),0.76718,0.76719,0.76743,0.76728,0.76733,0.77092,0.77066,0.7705,0.77096,0.77094
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29053,0.29063,0.29055,0.29054,0.29048,0.27301,0.27307,0.27325,0.27301,0.27295
test_loss_step,0.25249,0.25256,0.25479,0.2484,0.25427,0.3134,0.31181,0.31302,0.30955,0.31259
train_loss_epoch,0.28942,0.28928,0.28928,0.28932,0.28932,0.26968,0.26964,0.26967,0.26955,0.26966
train_loss_step,0.27515,0.26652,0.31972,0.27947,0.2948,0.24587,0.29534,0.23204,0.26325,0.28733
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29094,0.29088,0.29088,0.29088,0.29084,0.27347,0.27353,0.27362,0.27344,0.27337
val_final_loss_step,0.2413,0.24558,0.24385,0.24764,0.24688,0.25667,0.25945,0.26144,0.25777,0.25941
val_loss_epoch,0.29094,0.29093,0.29088,0.29088,0.29084,0.27347,0.27354,0.27367,0.27344,0.27337
val_loss_step,0.2413,0.24461,0.24385,0.24764,0.24688,0.25667,0.26006,0.26232,0.25777,0.25941
