Metric,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed41.loki.70480.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed42.loki.70481.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed43.loki.70482.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed44.loki.70483.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed45.loki.70484.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed41.mira05.72391.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed42.mira10.72395.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed43.mira09.72392.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed44.mira09.72393.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p70_multirun-seed45.mira10.72394.log
AUC-PR | 'No Finding' (Testing),0.41593,0.41651,0.41682,0.41729,0.41719,0.70508,0.70526,0.70504,0.70542,0.70532
AUC-PR | 'Others' (Testing),0.32248,0.32236,0.32258,0.32243,0.32243,0.27301,0.27266,0.27257,0.27308,0.27313
AUC-PR | 'Pleural Effusion' (Testing),0.76693,0.76708,0.76693,0.76688,0.76694,0.67838,0.67785,0.67772,0.67817,0.67848
AUC-ROC | 'No Finding' (Testing),0.86589,0.86565,0.86583,0.86585,0.86597,0.84041,0.8405,0.8404,0.84071,0.84061
AUC-ROC | 'Others' (Testing),0.75397,0.75363,0.75407,0.75378,0.75385,0.75792,0.75792,0.75785,0.75819,0.75802
AUC-ROC | 'Pleural Effusion' (Testing),0.84344,0.84362,0.84374,0.8434,0.84349,0.87044,0.87027,0.87016,0.87039,0.87048
J Index Max | 'No Finding' (Testing),0.61099,0.61022,0.61142,0.61046,0.61076,0.53669,0.53612,0.53706,0.53656,0.53614
J Index Max | 'Others' (Testing),0.39262,0.39198,0.39438,0.39163,0.39138,0.39734,0.39701,0.39586,0.39731,0.39776
J Index Max | 'Pleural Effusion' (Testing),0.53762,0.53535,0.53586,0.53614,0.53639,0.5863,0.58525,0.58496,0.58692,0.58738
J Index at 20% FPR | 'No Finding' (Testing),0.61025,0.60878,0.60498,0.60843,0.60876,0.53559,0.53407,0.53522,0.53491,0.53334
J Index at 20% FPR | 'Others' (Testing),0.35979,0.35919,0.35943,0.36068,0.35924,0.36036,0.35666,0.36075,0.36058,0.35995
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.51272,0.51482,0.51464,0.5141,0.51364,0.58039,0.57864,0.57889,0.58125,0.58226
Macro AUC-PR (Testing),0.3609,0.36085,0.36105,0.36095,0.36095,0.33283,0.3325,0.3324,0.33289,0.33295
Macro AUC-PR (Validation - During Training),0.36095,0.36069,0.36095,0.36078,0.36082,0.32943,0.3292,0.32937,0.32955,0.32955
Macro AUC-PR (Validation - Final),0.36095,0.36049,0.36095,0.36078,0.36082,0.32943,0.32909,0.32898,0.32955,0.32955
Macro AUC-ROC (Testing),0.76835,0.76806,0.76846,0.76818,0.76826,0.77185,0.77184,0.77176,0.7721,0.77196
Macro AUC-ROC (Validation - During Training),0.76713,0.76717,0.7673,0.76719,0.76706,0.76974,0.76954,0.76974,0.76989,0.76976
Macro AUC-ROC (Validation - Final),0.76713,0.76706,0.7673,0.76719,0.76706,0.76974,0.76957,0.76951,0.76989,0.76976
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29037,0.2905,0.29033,0.29038,0.29031,0.27303,0.2731,0.27327,0.27301,0.27298
test_loss_step,0.2505,0.25077,0.25345,0.24767,0.25194,0.31344,0.31236,0.31302,0.31002,0.31223
train_loss_epoch,0.28924,0.28915,0.28921,0.28924,0.28916,0.2695,0.26938,0.2695,0.26942,0.26942
train_loss_step,0.27625,0.27359,0.32103,0.27987,0.2972,0.24687,0.29727,0.23373,0.26586,0.28913
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29092,0.29088,0.29087,0.2909,0.29086,0.27349,0.27356,0.27365,0.27347,0.27341
val_final_loss_step,0.26651,0.27133,0.27123,0.27453,0.27136,0.24476,0.24698,0.24813,0.24502,0.24637
val_loss_epoch,0.29092,0.29091,0.29087,0.2909,0.29086,0.27349,0.27357,0.27372,0.27347,0.27341
val_loss_step,0.26651,0.27062,0.27123,0.27453,0.27136,0.24476,0.24665,0.24994,0.24502,0.24637
