Metric,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed41.loki.70458.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed42.loki.70459.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed43.loki.70460.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed44.loki.70461.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed45.loki.70462.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed41.mira10.72367.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed42.mira10.72368.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed43.mira09.72369.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed44.mira09.72370.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p60_multirun-seed45.mira05.72371.log
AUC-PR | 'No Finding' (Testing),0.42657,0.42595,0.42624,0.42668,0.4263,0.70649,0.70651,0.70651,0.70664,0.70665
AUC-PR | 'Others' (Testing),0.32194,0.32193,0.32203,0.3219,0.32207,0.2729,0.27244,0.27227,0.27304,0.27295
AUC-PR | 'Pleural Effusion' (Testing),0.76473,0.76468,0.76481,0.76464,0.76467,0.67707,0.6767,0.67651,0.67709,0.67739
AUC-ROC | 'No Finding' (Testing),0.86584,0.86565,0.86575,0.86586,0.86586,0.84117,0.84121,0.84118,0.84133,0.84132
AUC-ROC | 'Others' (Testing),0.75397,0.75392,0.75412,0.754,0.75405,0.75681,0.75676,0.75691,0.75714,0.75696
AUC-ROC | 'Pleural Effusion' (Testing),0.84353,0.84354,0.84368,0.84349,0.8435,0.87021,0.87004,0.86998,0.87025,0.87036
J Index Max | 'No Finding' (Testing),0.60741,0.60957,0.60924,0.60784,0.60716,0.54332,0.54297,0.54255,0.54354,0.5442
J Index Max | 'Others' (Testing),0.39079,0.39089,0.39156,0.3911,0.39117,0.39604,0.3935,0.39572,0.39543,0.39551
J Index Max | 'Pleural Effusion' (Testing),0.53838,0.53801,0.53775,0.53864,0.54069,0.5853,0.58532,0.58458,0.58646,0.58781
J Index at 20% FPR | 'No Finding' (Testing),0.60528,0.60407,0.60473,0.60566,0.60461,0.5392,0.53931,0.53747,0.5395,0.53887
J Index at 20% FPR | 'Others' (Testing),0.35615,0.35825,0.35657,0.35643,0.3552,0.35664,0.35504,0.35482,0.35851,0.35621
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.51426,0.51391,0.51253,0.51516,0.51347,0.5842,0.58171,0.58176,0.5822,0.58349
Macro AUC-PR (Testing),0.36104,0.36098,0.3611,0.36101,0.36113,0.33274,0.33232,0.33216,0.33287,0.33282
Macro AUC-PR (Validation - During Training),0.36098,0.36107,0.36114,0.36116,0.36118,0.32966,0.32928,0.32962,0.32988,0.32971
Macro AUC-PR (Validation - Final),0.36098,0.36087,0.36114,0.36116,0.36118,0.32966,0.32928,0.32905,0.32988,0.32971
Macro AUC-ROC (Testing),0.76835,0.7683,0.76849,0.76838,0.76843,0.77093,0.77088,0.77101,0.77123,0.77109
Macro AUC-ROC (Validation - During Training),0.76628,0.76634,0.76662,0.76635,0.76636,0.77037,0.77012,0.77033,0.77055,0.77041
Macro AUC-ROC (Validation - Final),0.76628,0.76619,0.76662,0.76635,0.76636,0.77037,0.77017,0.77001,0.77055,0.77041
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29058,0.29071,0.2906,0.29059,0.29052,0.2732,0.27328,0.27343,0.27318,0.27316
test_loss_step,0.25093,0.25012,0.25304,0.24764,0.25212,0.31532,0.31428,0.31512,0.31163,0.31459
train_loss_epoch,0.28904,0.28897,0.28892,0.28898,0.28889,0.26953,0.26949,0.2695,0.26947,0.26953
train_loss_step,0.27654,0.26956,0.31873,0.27848,0.2964,0.24617,0.29784,0.23753,0.26207,0.29038
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29087,0.29077,0.29075,0.29079,0.29075,0.27368,0.27374,0.27381,0.27365,0.27359
val_final_loss_step,0.2515,0.25928,0.25693,0.26041,0.25918,0.2507,0.2536,0.25389,0.25012,0.25276
val_loss_epoch,0.29087,0.29081,0.29075,0.29079,0.29075,0.27368,0.27375,0.27387,0.27365,0.27359
val_loss_step,0.2515,0.25791,0.25693,0.26041,0.25918,0.2507,0.25363,0.25422,0.25012,0.25276
