Metric,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed41.loki.70376.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed42.loki.70377.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed43.loki.70378.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed44.loki.70379.log,chexpert--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed45.loki.70380.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed41.mira10.72352.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed42.mira10.72353.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed43.mira10.72354.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed44.mira10.72355.log,mimic--cxrfmkd1664to14_lp_mse&cosinesimweighted_alpha0p50_multirun-seed45.mira09.72356.log
AUC-PR | 'No Finding' (Testing),0.42239,0.42203,0.4224,0.42237,0.42312,0.70624,0.70634,0.70618,0.70641,0.70653
AUC-PR | 'Others' (Testing),0.32247,0.32259,0.32266,0.32245,0.32265,0.27229,0.27194,0.27171,0.27251,0.2723
AUC-PR | 'Pleural Effusion' (Testing),0.76385,0.76365,0.76364,0.76381,0.76359,0.68515,0.68486,0.68493,0.68537,0.68556
AUC-ROC | 'No Finding' (Testing),0.8648,0.86479,0.86466,0.86474,0.8648,0.8416,0.8416,0.84156,0.84178,0.84183
AUC-ROC | 'Others' (Testing),0.75313,0.75295,0.7532,0.75299,0.75312,0.75699,0.75697,0.75692,0.75724,0.7571
AUC-ROC | 'Pleural Effusion' (Testing),0.84231,0.84238,0.84244,0.84228,0.84226,0.87121,0.87115,0.87116,0.87128,0.87145
J Index Max | 'No Finding' (Testing),0.605,0.60571,0.60493,0.60641,0.60633,0.54211,0.54376,0.54259,0.54298,0.54283
J Index Max | 'Others' (Testing),0.38824,0.38837,0.3874,0.38815,0.38785,0.39939,0.39839,0.39867,0.39964,0.39973
J Index Max | 'Pleural Effusion' (Testing),0.52668,0.52803,0.528,0.52804,0.5269,0.5888,0.58873,0.58866,0.58872,0.58898
J Index at 20% FPR | 'No Finding' (Testing),0.59472,0.59827,0.59746,0.59836,0.59598,0.53298,0.53234,0.53288,0.53343,0.53303
J Index at 20% FPR | 'Others' (Testing),0.35598,0.3544,0.35504,0.35507,0.35577,0.357,0.35599,0.35616,0.35599,0.35601
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.50888,0.51075,0.5135,0.51188,0.51089,0.57803,0.57837,0.57861,0.57887,0.57806
Macro AUC-PR (Testing),0.36113,0.36119,0.36128,0.36111,0.36133,0.33278,0.33247,0.33226,0.33299,0.33284
Macro AUC-PR (Validation - During Training),0.36144,0.36132,0.36152,0.36129,0.36151,0.33036,0.33016,0.33029,0.33059,0.33073
Macro AUC-PR (Validation - Final),0.36144,0.36113,0.36152,0.36129,0.36151,0.33036,0.33022,0.32973,0.33059,0.33073
Macro AUC-ROC (Testing),0.76748,0.76732,0.76754,0.76735,0.76746,0.77119,0.77117,0.77112,0.77143,0.77132
Macro AUC-ROC (Validation - During Training),0.76738,0.76748,0.7676,0.76743,0.76747,0.76961,0.76934,0.76954,0.76977,0.76966
Macro AUC-ROC (Validation - Final),0.76738,0.76724,0.7676,0.76743,0.76747,0.76961,0.76936,0.76922,0.76977,0.76966
epoch,20,20,20,20,20,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.29043,0.29054,0.29042,0.29044,0.29038,0.27281,0.27286,0.27303,0.2728,0.27276
test_loss_step,0.24695,0.24618,0.2492,0.24378,0.24754,0.31604,0.31489,0.3152,0.31244,0.31514
train_loss_epoch,0.28902,0.28887,0.28893,0.28891,0.28886,0.26956,0.26949,0.26956,0.26951,0.26949
train_loss_step,0.27829,0.27417,0.31958,0.28081,0.29258,0.24697,0.29796,0.23131,0.26304,0.28999
trainer/global_step,11920,11920,11920,11920,11920,17240,17240,17240,17240,17240
val_final_loss_epoch,0.29061,0.29056,0.29054,0.29058,0.2905,0.27341,0.27349,0.27357,0.27339,0.27332
val_final_loss_step,0.24589,0.25061,0.24838,0.25309,0.25153,0.24638,0.24881,0.25036,0.24576,0.2495
val_loss_epoch,0.29061,0.29058,0.29054,0.29058,0.2905,0.27341,0.2735,0.2736,0.27339,0.27332
val_loss_step,0.24589,0.24956,0.24838,0.25309,0.25153,0.24638,0.2484,0.25181,0.24576,0.2495
